Input	Match type	Approved symbol	Approved name	HGNC ID	Location
ASP	Synonyms	A1CF	APOBEC1 complementation factor	HGNC:24086	10q11.23
ASP	Synonyms	ROPN1L	rhophilin associated tail protein 1 like	HGNC:24060	5p15.2
ASRGL1	Approved symbol	ASRGL1	asparaginase like 1	HGNC:16448	11q12.3
ATD5	Unmatched				
ATF6	Approved symbol	ATF6	activating transcription factor 6	HGNC:791	1q23.3
ATF6A	Synonyms	ATF6	activating transcription factor 6	HGNC:791	1q23.3
ATP6	Synonyms	MT-ATP6	mitochondrially encoded ATP synthase 6	HGNC:7414	mitochondria
ATXN7	Approved symbol	ATXN7	ataxin 7	HGNC:10560	3p14.1
AXPC1	Previous symbol	FLVCR1	feline leukemia virus subgroup C cellular receptor 1	HGNC:24682	1q32.3
BART	Synonyms	BSND	barttin CLCNK type accessory beta subunit	HGNC:16512	1p32.3
BART	Synonyms	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	HGNC:17146	16q13
BART1	Synonyms	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	HGNC:17146	16q13
BBIP1	Approved symbol	BBIP1	BBSome interacting protein 1	HGNC:28093	10q25.2
BBIP10	Synonyms	BBIP1	BBSome interacting protein 1	HGNC:28093	10q25.2
BBS1	Approved symbol	BBS1	Bardet-Biedl syndrome 1	HGNC:966	11q13.2
BBS10	Approved symbol	BBS10	Bardet-Biedl syndrome 10	HGNC:26291	12q21.2
BBS11	Synonyms	TRIM32	tripartite motif containing 32	HGNC:16380	9q33.1
BBS12	Approved symbol	BBS12	Bardet-Biedl syndrome 12	HGNC:26648	4q27
BBS13	Synonyms	MKS1	Meckel syndrome, type 1	HGNC:7121	17q22
BBS14	Synonyms	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
BBS15	Synonyms	WDPCP	WD repeat containing planar cell polarity effector	HGNC:28027	2p15
BBS16	Synonyms	SDCCAG8	serologically defined colon cancer antigen 8	HGNC:10671	1q43-q44
BBS17	Synonyms	LZTFL1	leucine zipper transcription factor like 1	HGNC:6741	3p21.31
BBS18	Synonyms	BBIP1	BBSome interacting protein 1	HGNC:28093	10q25.2
BBS19	Synonyms	IFT27	intraflagellar transport 27	HGNC:18626	22q12.3
BBS2	Approved symbol	BBS2	Bardet-Biedl syndrome 2	HGNC:967	16q13
BBS21	Synonyms	C8orf37	chromosome 8 open reading frame 37	HGNC:27232	8q22.1
BBS2L1	Synonyms	BBS7	Bardet-Biedl syndrome 7	HGNC:18758	4q27
BBS3	Previous symbol	ARL6	ADP ribosylation factor like GTPase 6	HGNC:13210	3q11.2
BBS4	Approved symbol	BBS4	Bardet-Biedl syndrome 4	HGNC:969	15q24.1
BBS5	Approved symbol	BBS5	Bardet-Biedl syndrome 5	HGNC:970	2q31.1
BBS6	Previous symbol	MKKS	McKusick-Kaufman syndrome	HGNC:7108	20p12.2
BBS7	Approved symbol	BBS7	Bardet-Biedl syndrome 7	HGNC:18758	4q27
BBS8	Synonyms	TTC8	tetratricopeptide repeat domain 8	HGNC:20087	14q31.3
BBS9	Approved symbol	BBS9	Bardet-Biedl syndrome 9	HGNC:30000	7p14.3
BCAMD	Unmatched				
BCD	Unmatched				
BCM	Synonyms	TNFRSF17	TNF receptor superfamily member 17	HGNC:11913	16p13.13
BCP	Previous symbol	OPN1SW	opsin 1, short wave sensitive	HGNC:1012	7q32.1
BEST1	Approved symbol	BEST1	bestrophin 1	HGNC:12703	11q12.3
BF	Previous symbol	CFB	complement factor B	HGNC:1037	6p21.33
BFD	Previous symbol	CFB	complement factor B	HGNC:1037	6p21.33
BNHS	Unmatched				
BRR2	Synonyms	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	HGNC:30859	2q11.2
C12orf65	Approved symbol	C12orf65	chromosome 12 open reading frame 65	HGNC:26784	12q24.31
C1orf36	Previous symbol	RD3	retinal degeneration 3	HGNC:19689	1q32.3
C1QTNF5	Approved symbol	C1QTNF5	C1q and TNF related 5	HGNC:14344	11q23.3
C1QTNF5	Synonyms	MFRP	membrane frizzled-related protein	HGNC:18121	11q23.3
C2	Approved symbol	C2	complement C2	HGNC:1248	6p21.33
C21orf2	Approved symbol	C21orf2	chromosome 21 open reading frame 2	HGNC:1260	21q22.3
C2orf71	Approved symbol	C2orf71	chromosome 2 open reading frame 71	HGNC:34383	2p23.2
C3	Approved symbol	C3	complement C3	HGNC:1318	19p13.3
C8orf37	Approved symbol	C8orf37	chromosome 8 open reading frame 37	HGNC:27232	8q22.1
CA4	Approved symbol	CA4	carbonic anhydrase 4	HGNC:1375	17q23.1
CABP4	Approved symbol	CABP4	calcium binding protein 4	HGNC:1386	11q13.2
CACD	Approved symbol	CACD	central areolar choroidal dystrophy	HGNC:1387	17p13
CACD1	Unmatched				
CACD2	Synonyms	PRPH2	peripherin 2	HGNC:9942	6p21.1
CACNA1F	Approved symbol	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
CACNA2D4	Approved symbol	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4	HGNC:20202	12p13.33
CAPN5	Approved symbol	CAPN5	calpain 5	HGNC:1482	11q13.5
CBD	Previous symbol	OPN1MW	opsin 1, medium wave sensitive	HGNC:4206	Xq28
CBP	Previous symbol	OPN1LW	opsin 1, long wave sensitive	HGNC:9936	Xq28
CBP	Synonyms	CREBBP	CREB binding protein	HGNC:2348	16p13.3
CBP	Synonyms	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1	HGNC:30043	8q21.13
CBT	Synonyms	OPN1SW	opsin 1, short wave sensitive	HGNC:1012	7q32.1
CC2D2A	Approved symbol	CC2D2A	coiled-coil and C2 domain containing 2A	HGNC:29253	4p15.32
CCCAP	Synonyms	SDCCAG8	serologically defined colon cancer antigen 8	HGNC:10671	1q43-q44
CCMD	Unmatched				
CDH23	Approved symbol	CDH23	cadherin related 23	HGNC:13733	10q22.1
CDH3	Approved symbol	CDH3	cadherin 3	HGNC:1762	16q22.1
CDH3	Previous symbol	CDH15	cadherin 15	HGNC:1754	16q24.3
CDHP	Synonyms	CDH3	cadherin 3	HGNC:1762	16q22.1
CDHR1	Approved symbol	CDHR1	cadherin related family member 1	HGNC:14550	10q23.1
CDMP2	Unmatched				
CED4	Synonyms	APAF1	apoptotic peptidase activating factor 1	HGNC:576	12q23.1
CEP164	Approved symbol	CEP164	centrosomal protein 164	HGNC:29182	11q23.3
CEP250	Approved symbol	CEP250	centrosomal protein 250	HGNC:1859	20q11.22
CEP290	Approved symbol	CEP290	centrosomal protein 290	HGNC:29021	12q21.32
CERKL	Approved symbol	CERKL	ceramide kinase like	HGNC:21699	2q31.3
CFB	Approved symbol	CFB	complement factor B	HGNC:1037	6p21.33
CFH	Approved symbol	CFH	complement factor H	HGNC:4883	1q31.3
CHBL	Unmatched				
CHM	Approved symbol	CHM	CHM, Rab escort protein 1	HGNC:1940	Xq21.2
CIB2	Approved symbol	CIB2	calcium and integrin binding family member 2	HGNC:24579	15q25.1
CLN3	Approved symbol	CLN3	CLN3, battenin	HGNC:2074	16p12.1
CLN7	Previous symbol	MFSD8	major facilitator superfamily domain containing 8	HGNC:28486	4q28.2
CLRN1	Approved symbol	CLRN1	clarin 1	HGNC:12605	3q25.1
CLUAP1	Approved symbol	CLUAP1	clusterin associated protein 1	HGNC:19009	16p13.3
CMT2A2	Synonyms	MFN2	mitofusin 2	HGNC:16877	1p36.22
CMT6	Unmatched				
CMT6B	Unmatched				
CMTX5	Synonyms	PRPS1	phosphoribosyl pyrophosphate synthetase 1	HGNC:9462	Xq22.3
CNCG	Previous symbol	CNGA1	cyclic nucleotide gated channel alpha 1	HGNC:2148	4p12
CNCG1	Previous symbol	CNGA1	cyclic nucleotide gated channel alpha 1	HGNC:2148	4p12
CNCG2	Previous symbol	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
CNCG3	Previous symbol	CNGA3	cyclic nucleotide gated channel alpha 3	HGNC:2150	2q11.2
CNCG3L	Previous symbol	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
CNGA1	Approved symbol	CNGA1	cyclic nucleotide gated channel alpha 1	HGNC:2148	4p12
CNGA3	Approved symbol	CNGA3	cyclic nucleotide gated channel alpha 3	HGNC:2150	2q11.2
CNGB1	Approved symbol	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
CNGB3	Approved symbol	CNGB3	cyclic nucleotide gated channel beta 3	HGNC:2153	8q21.3
CNNM4	Approved symbol	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	HGNC:105	2q11.2
COD1	Synonyms	COG4	component of oligomeric golgi complex 4	HGNC:18620	16q22.1
COD1	Previous symbol	RPGR	retinitis pigmentosa GTPase regulator	HGNC:10295	Xp11.4
COD2	Approved symbol	COD2	cone dystrophy 2 (X-linked)	HGNC:2182	Xq27
COD2	Synonyms	COG6	component of oligomeric golgi complex 6	HGNC:18621	13q14.11
COD3	Synonyms	GUCA1A	guanylate cyclase activator 1A	HGNC:4678	6p21.1
COD4	Synonyms	PDE6C	phosphodiesterase 6C	HGNC:8787	10q23.33
COD5	Synonyms	OPN1MW	opsin 1, medium wave sensitive	HGNC:4206	Xq28
COD5	Synonyms	OPN1LW	opsin 1, long wave sensitive	HGNC:9936	Xq28
CODA1	Unmatched				
COL11A1	Approved symbol	COL11A1	collagen type XI alpha 1 chain	HGNC:2186	1p21.1
COL2A1	Approved symbol	COL2A1	collagen type II alpha 1 chain	HGNC:2200	12q13.11
COL9A1	Approved symbol	COL9A1	collagen type IX alpha 1 chain	HGNC:2217	6q13
CORD1	Approved symbol	CORD1	cone rod dystrophy 1 (autosomal dominant)	HGNC:2245	18q21.1-q21.3
CORD10	Synonyms	SEMA4A	semaphorin 4A	HGNC:10729	1q22
CORD11	Synonyms	RAX2	retina and anterior neural fold homeobox 2	HGNC:18286	19p13.3
CORD12	Synonyms	PROM1	prominin 1	HGNC:9454	4p15.32
CORD13	Synonyms	RPGRIP1	retinitis pigmentosa GTPase regulator interacting protein 1	HGNC:13436	14q11.2
CORD14	Synonyms	GUCA1A	guanylate cyclase activator 1A	HGNC:4678	6p21.1
CORD15	Synonyms	CDHR1	cadherin related family member 1	HGNC:14550	10q23.1
CORD16	Synonyms	C8orf37	chromosome 8 open reading frame 37	HGNC:27232	8q22.1
CORD17	Approved symbol	CORD17	cone rod dystrophy 17 (autosomal dominant)	HGNC:48676	10q26
CORD18	Unmatched				
CORD19	Unmatched				
CORD2	Previous symbol	CRX	cone-rod homeobox	HGNC:2383	19q13.33
CORD20	Unmatched				
CORD3	Synonyms	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
CORD4	Approved symbol	CORD4	cone rod dystrophy 4	HGNC:2247	17q
CORD5	Previous symbol	PITPNM3	PITPNM family member 3	HGNC:21043	17p13.2-p13.1
CORD6	Previous symbol	GUCY2D	guanylate cyclase 2D, retinal	HGNC:4689	17p13.1
CORD7	Previous symbol	RIMS1	regulating synaptic membrane exocytosis 1	HGNC:17282	6q13
CORD8	Approved symbol	CORD8	cone rod dystrophy 8	HGNC:2251	1q12-q24
CORD9	Previous symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.22
CORDX1	Synonyms	RPGR	retinitis pigmentosa GTPase regulator	HGNC:10295	Xp11.4
CORDX2	Synonyms	COD2	cone dystrophy 2 (X-linked)	HGNC:2182	Xq27
CORDX3	Synonyms	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
CORS1	Synonyms	INPP5E	inositol polyphosphate-5-phosphatase E	HGNC:21474	9q34.3
CORS2	Previous symbol	TMEM216	transmembrane protein 216	HGNC:25018	11q13.1
COXPD7	Unmatched				
CPHD6	Unmatched				
CRALBP	Synonyms	RLBP1	retinaldehyde binding protein 1	HGNC:10024	15q26.1
CRB1	Approved symbol	CRB1	crumbs 1, cell polarity complex component	HGNC:2343	1q31.3
CRV	Unmatched				
CRX	Approved symbol	CRX	cone-rod homeobox	HGNC:2383	19q13.33
CSNB1	Previous symbol	NYX	nyctalopin	HGNC:8082	Xp11.4
CSNB1A	Synonyms	NYX	nyctalopin	HGNC:8082	Xp11.4
CSNB1B	Synonyms	GRM6	glutamate metabotropic receptor 6	HGNC:4598	5q35.3
CSNB1C	Synonyms	TRPM1	transient receptor potential cation channel subfamily M member 1	HGNC:7146	15q13.3
CSNB1D	Synonyms	SLC24A1	solute carrier family 24 member 1	HGNC:10975	15q22.31
CSNB1E	Synonyms	GPR179	G protein-coupled receptor 179	HGNC:31371	17q12
CSNB2	Previous symbol	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
CSNB2A	Synonyms	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
CSNB2B	Synonyms	CABP4	calcium binding protein 4	HGNC:1386	11q13.2
CSNB3	Synonyms	PDE6B	phosphodiesterase 6B	HGNC:8786	4p16.3
CSNB4	Previous symbol	NYX	nyctalopin	HGNC:8082	Xp11.4
CSNBAD1	Synonyms	RHO	rhodopsin	HGNC:10012	3q22.1
CSNBAD2	Synonyms	PDE6B	phosphodiesterase 6B	HGNC:8786	4p16.3
CSNBAD3	Synonyms	GNAT1	G protein subunit alpha transducin 1	HGNC:4393	3p21.31
CSNBX2	Synonyms	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
CSPG2	Previous symbol	VCAN	versican	HGNC:2464	5q14.2-q14.3
CSPP1	Approved symbol	CSPP1	centrosome and spindle pole associated protein 1	HGNC:26193	8q13.1-q13.2
CTNNA1	Approved symbol	CTNNA1	catenin alpha 1	HGNC:2509	5q31.2
CTRP5	Synonyms	C1QTNF5	C1q and TNF related 5	HGNC:14344	11q23.3
CYMD	Approved symbol	CYMD	cystoid macular dystrophy	HGNC:2587	7p
CYP4V2	Approved symbol	CYP4V2	cytochrome P450 family 4 subfamily V member 2	HGNC:23198	4q35.1-q35.2
DDP	Synonyms	TIMM8A	translocase of inner mitochondrial membrane 8A	HGNC:11817	Xq22.1
DDP2	Synonyms	TIMM8B	translocase of inner mitochondrial membrane 8 homolog B	HGNC:11818	11q23.1
DFN1	Previous symbol	TIMM8A	translocase of inner mitochondrial membrane 8A	HGNC:11817	Xq22.1
DFNA38	Previous symbol	WFS1	wolframin ER transmembrane glycoprotein	HGNC:12762	4p16.1
DFNB12	Previous symbol	CDH23	cadherin related 23	HGNC:13733	10q22.1
DFNB18	Previous symbol	USH1C	USH1 protein network component harmonin	HGNC:12597	11p15.1
DFNB2	Previous symbol	MYO7A	myosin VIIA	HGNC:7606	11q13.5
DFNB23	Previous symbol	PCDH15	protocadherin related 15	HGNC:14674	10q21.1
DFNB31	Previous symbol	WHRN	whirlin	HGNC:16361	9q32
DFNB48	Previous symbol	CIB2	calcium and integrin binding family member 2	HGNC:24579	15q25.1
DFNX1	Synonyms	PRPS1	phosphoribosyl pyrophosphate synthetase 1	HGNC:9462	Xq22.3
DHDDS	Approved symbol	DHDDS	dehydrodolichyl diphosphate synthase subunit	HGNC:20603	1p36.11
DHRD	Previous symbol	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	HGNC:3218	2p16.1
DHX38	Approved symbol	DHX38	DEAH-box helicase 38	HGNC:17211	16q22.2
DMD	Approved symbol	DMD	dystrophin	HGNC:2928	Xp21.2-p21.1
DMDF	Unmatched				
DRAM2	Approved symbol	DRAM2	DNA damage regulated autophagy modulator 2	HGNC:28769	1p13.3
DTHD1	Approved symbol	DTHD1	death domain containing 1	HGNC:37261	4p14
EAR3	Unmatched				
EFEMP1	Approved symbol	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	HGNC:3218	2p16.1
EG5	Synonyms	KIF11	kinesin family member 11	HGNC:6388	10q23.33
ELOVL4	Approved symbol	ELOVL4	ELOVL fatty acid elongase 4	HGNC:14415	6q14.1
EMC1	Approved symbol	EMC1	ER membrane protein complex subunit 1	HGNC:28957	1p36.13
ERCC6	Approved symbol	ERCC6	ERCC excision repair 6, chromatin remodeling factor	HGNC:3438	10q11.23
ERVR	Unmatched				
ESCS	Unmatched				
EVR1	Previous symbol	LRP5	LDL receptor related protein 5	HGNC:6697	11q13.2
EVR1	Previous symbol	FZD4	frizzled class receptor 4	HGNC:4042	11q14.2
EVR2	Previous symbol	NDP	NDP, norrin cystine knot growth factor	HGNC:7678	Xp11.3
EVR3	Approved symbol	EVR3	exudative vitreoretinopathy 3	HGNC:32785	11p13-p12
EVR4	Synonyms	LRP5	LDL receptor related protein 5	HGNC:6697	11q13.2
EVR5	Unmatched				
EVR6	Unmatched				
EXOSC2	Approved symbol	EXOSC2	exosome component 2	HGNC:17097	9q34.12
EYS	Approved symbol	EYS	eyes shut homolog (Drosophila)	HGNC:21555	6q12
FAM161A	Approved symbol	FAM161A	family with sequence similarity 161 member A	HGNC:25808	2p15
FBLN3	Synonyms	EFEMP1	EGF containing fibulin like extracellular matrix protein 1	HGNC:3218	2p16.1
FBLN5	Approved symbol	FBLN5	fibulin 5	HGNC:3602	14q32.12
FBLN6	Synonyms	HMCN1	hemicentin 1	HGNC:19194	1q25.3-q31.1
FEB4	Approved symbol	FEB4	febrile convulsions 4	HGNC:3646	5q14-q15
FEB4	Synonyms	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
FEVR	Unmatched				
FHASD	Unmatched				
FIGLER4	Synonyms	LRIT3	leucine rich repeat, Ig-like and transmembrane domains 3	HGNC:24783	4q25
FLJ23560	Synonyms	BBS10	Bardet-Biedl syndrome 10	HGNC:26291	12q21.2
FLJ35630	Synonyms	BBS12	Bardet-Biedl syndrome 12	HGNC:26648	4q27
FLVCR1	Approved symbol	FLVCR1	feline leukemia virus subgroup C cellular receptor 1	HGNC:24682	1q32.3
FRITZ	Synonyms	FRZB	frizzled-related protein	HGNC:3959	2q32.1
FRITZ	Synonyms	WDPCP	WD repeat containing planar cell polarity effector	HGNC:28027	2p15
FSCN2	Approved symbol	FSCN2	fascin actin-bundling protein 2, retinal	HGNC:3960	17q25.3
FZD4	Approved symbol	FZD4	frizzled class receptor 4	HGNC:4042	11q14.2
GAR1	Approved symbol	GAR1	GAR1 ribonucleoprotein	HGNC:14264	4q25
GAR1	Synonyms	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
GARP	Previous symbol	LRRC32	leucine rich repeat containing 32	HGNC:4161	11q13.5
GARP	Synonyms	CNGB1	cyclic nucleotide gated channel beta 1	HGNC:2151	16q21
GCAP1	Synonyms	GUCA1A	guanylate cyclase activator 1A	HGNC:4678	6p21.1
GCAP2	Synonyms	GUCA1B	guanylate cyclase activator 1B	HGNC:4679	6p21.1
GCP	Previous symbol	OPN1MW	opsin 1, medium wave sensitive	HGNC:4206	Xq28
GCP	Synonyms	GOLGB1	golgin B1	HGNC:4429	3q13.33
GDF6	Approved symbol	GDF6	growth differentiation factor 6	HGNC:4221	8q22.1
GNAT1	Approved symbol	GNAT1	G protein subunit alpha transducin 1	HGNC:4393	3p21.31
GNAT2	Approved symbol	GNAT2	G protein subunit alpha transducin 2	HGNC:4394	1p13.3
GNB3	Approved symbol	GNB3	G protein subunit beta 3	HGNC:4400	12p13.31
GNPTG	Approved symbol	GNPTG	N-acetylglucosamine-1-phosphate transferase gamma subunit	HGNC:23026	16p13.3
GPR125	Previous symbol	ADGRA3	adhesion G protein-coupled receptor A3	HGNC:13839	4p15.2
GPR179	Approved symbol	GPR179	G protein-coupled receptor 179	HGNC:31371	17q12
GPR98	Previous symbol	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
GRK1	Approved symbol	GRK1	G protein-coupled receptor kinase 1	HGNC:10013	13q34
GRM6	Approved symbol	GRM6	glutamate metabotropic receptor 6	HGNC:4598	5q35.3
GUCA1A	Approved symbol	GUCA1A	guanylate cyclase activator 1A	HGNC:4678	6p21.1
GUCA1B	Approved symbol	GUCA1B	guanylate cyclase activator 1B	HGNC:4679	6p21.1
GUCY2D	Approved symbol	GUCY2D	guanylate cyclase 2D, retinal	HGNC:4689	17p13.1
HARP	Synonyms	SMARCAL1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a like 1	HGNC:11102	2q35
HARP	Synonyms	PANK2	pantothenate kinase 2	HGNC:15894	20p13
HARP	Synonyms	ANGPTL2	angiopoietin like 2	HGNC:490	9q33.3
HARP	Synonyms	ANKS4B	ankyrin repeat and sterile alpha motif domain containing 4B	HGNC:26795	16p12.2
HARS	Approved symbol	HARS	histidyl-tRNA synthetase	HGNC:4816	5q31.3
HBM	Approved symbol	HBM	hemoglobin subunit mu	HGNC:4826	16p13.3
HBM	Synonyms	LRP5	LDL receptor related protein 5	HGNC:6697	11q13.2
HECIC2	Unmatched				
HF1	Previous symbol	CFH	complement factor H	HGNC:4883	1q31.3
HGSNAT	Approved symbol	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase	HGNC:26527	8p11.21-p11.1
HK1	Approved symbol	HK1	hexokinase 1	HGNC:4922	10q22.1
HK1	Synonyms	KCNA4	potassium voltage-gated channel subfamily A member 4	HGNC:6222	11p14.1
HK1	Synonyms	HOOK1	hook microtubule tethering protein 1	HGNC:19884	1p32.1
HK5P	Unmatched				
HMCN1	Approved symbol	HMCN1	hemicentin 1	HGNC:19194	1q25.3-q31.1
HMSN6B	Unmatched				
HMX1	Approved symbol	HMX1	H6 family homeobox 1	HGNC:5017	4p16.1
HPRP3	Synonyms	PRPF3	pre-mRNA processing factor 3	HGNC:17348	1q21.2
HRG4	Synonyms	UNC119	unc-119 lipid binding chaperone	HGNC:12565	17q11.2
HRG4	Synonyms	NRG4	neuregulin 4	HGNC:29862	15q24.2
HRS	Synonyms	SRSF5	serine and arginine rich splicing factor 5	HGNC:10787	14q24
HRS	Synonyms	HGS	hepatocyte growth factor-regulated tyrosine kinase substrate	HGNC:4897	17q25.3
HSD3	Synonyms	SPATA7	spermatogenesis associated 7	HGNC:20423	14q31.3
HT2A	Synonyms	TRIM32	tripartite motif containing 32	HGNC:16380	9q33.1
HTRA1	Approved symbol	HTRA1	HtrA serine peptidase 1	HGNC:9476	10q26.13
HTRA3	Approved symbol	HTRA3	HtrA serine peptidase 3	HGNC:30406	4p16.1
HTRA3	Synonyms	CAPN5	calpain 5	HGNC:1482	11q13.5
IDH3B	Approved symbol	IDH3B	isocitrate dehydrogenase 3 (NAD(+)) beta	HGNC:5385	20p13
IFT140	Approved symbol	IFT140	intraflagellar transport 140	HGNC:29077	16p13.3
IFT144	Synonyms	WDR19	WD repeat domain 19	HGNC:18340	4p14
IFT172	Approved symbol	IFT172	intraflagellar transport 172	HGNC:30391	2p23.3
IFT27	Approved symbol	IFT27	intraflagellar transport 27	HGNC:18626	22q12.3
ILFS2	Unmatched				
